id,gp,minutes,pts,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Dirk Nowitzki,839,30689,19084,7182,2247,776,857,1618,2178,14038,6628,5447,4748,2856,1080
Charles Oakley,1282,40282,12417,12205,3217,1351,386,2785,4421,10263,4835,3522,2679,269,68
Lamar Odom,665,24265,10057,5858,2812,637,696,1825,2178,8046,3727,3011,2111,1565,492
Don Ohl,727,22413,11549,2163,2243,0,0,0,2014,10806,4685,2975,2179,0,0
Hakeem Olajuwon,1238,44223,26946,13747,3058,2162,3830,3667,4383,20991,10749,7621,5423,124,25
Jermaine Oneal,792,22462,11302,6016,1188,402,1534,1574,2311,9432,4344,3662,2600,92,14
Shaquille Oneal,1117,39925,27619,12566,2920,708,2628,3149,3857,18793,10934,10896,5750,22,1
Robert Parish,1611,45712,23334,14715,2180,1219,2361,3183,4443,17914,9614,5694,4106,6,0
Tony Parker,612,20339,10219,1903,3455,606,44,1534,1156,8284,4061,2463,1787,992,310
Jim Paxson,784,21357,11199,1593,2300,951,93,1144,1442,9134,4545,2493,2011,435,98
Gary Payton,1335,47123,21813,5269,8964,2445,285,3030,3217,18698,8708,4480,3265,3570,1132
Sam Perkins,1286,36598,15324,7661,1975,1105,933,1586,3177,11984,5498,4292,3479,2348,849
Chuck Person,943,28941,13858,4763,2645,683,197,1952,2565,12176,5576,2056,1486,3370,1220
Bob Pettit,792,30690,20880,12849,2369,0,0,0,2529,16872,7349,8119,6182,0,0
Paul Pierce,813,30528,18603,5103,3183,1267,529,2488,2340,13760,6096,6330,5053,3713,1358
Ricky Pierce,969,23666,14467,2296,1825,768,147,1453,2213,10924,5391,3871,3389,920,296
Scottie Pippen,1178,41069,18940,7494,6135,2307,947,3257,3329,15700,7420,4437,3122,3002,978
Terry Porter,1274,35356,15586,3872,7160,1583,179,2666,2203,11734,5428,4107,3433,3360,1297
Mark Price,722,21561,10989,1848,4863,860,76,1789,964,8345,3939,2362,2135,2428,976
Michael Redd,550,18696,11295,2271,1254,545,63,907,945,8787,3970,2817,2374,2541,981
Willis Reed,650,23073,12183,8414,1186,12,21,0,2411,10202,4859,3298,2465,0,0
Robert Reid,919,25109,10448,4168,2500,973,403,1319,2893,9706,4443,1992,1459,354,103
Glen Rice,1000,34985,18336,4387,2097,958,265,1733,2361,14867,6776,3813,3225,3896,1559
Jason Richardson,592,21112,11008,3123,1798,730,279,1214,1456,9517,4173,2248,1590,2924,1072
Mitch Richmond,976,34316,20497,3801,3398,1211,254,2579,2503,16038,7305,5365,4561,3418,1326
Alvin Robertson,779,24669,10882,4066,3930,2111,323,2116,2639,9245,4412,2451,1822,800,236
Oscar Robertson,1040,43886,26710,7804,9887,77,4,0,2931,19620,9508,9185,7694,0,0
Clifford T. Robinson,629,19284,10823,5237,1249,655,441,1571,1870,9596,4493,2533,1830,36,7
Clifford R.  Robinson,1380,42555,19591,6306,3094,1402,1390,2502,4176,16875,7389,5165,3560,3515,1253
David Robinson,987,34269,20790,10497,2441,1387,2954,2417,2836,14221,7365,8201,6035,100,25
Glenn Robinson,688,25343,14232,4187,1879,826,389,2147,1847,12128,5570,3016,2472,1823,620
Truck Robinson,772,25141,11988,7267,1348,533,510,1592,2253,9971,4816,3556,2355,1,1
Guy Rodgers,892,28663,10415,3791,6917,0,0,0,2630,10908,4125,3003,2165,0,0
Jalen Rose,923,27926,13220,3186,3527,729,315,2102,2408,10945,4852,3457,2770,2102,746
Dan Roundfield,746,23443,11318,7243,1620,664,1117,1806,2561,8852,4289,3702,2733,61,7
Bill Russell,963,40726,14522,21620,4100,0,0,0,2592,12930,5687,5614,3148,0,0
Cazzie Russell,817,22213,12377,3068,1838,239,33,35,1693,11154,5172,2459,2033,0,0
Dolph Schayes,996,29800,18438,11256,3072,0,0,0,3432,15427,5863,7904,6712,0,0
Detlef Schrempf,1136,33597,15761,7022,3833,856,312,2268,3361,10995,5400,5585,4486,1236,475
Byron Scott,1073,30154,15097,2987,2729,1224,276,1597,2051,12268,5918,2985,2486,2093,775
Ray Scott,684,21339,10184,7154,1618,0,0,0,2035,9641,3906,3293,2372,0,0
Bill Sharman,711,21793,12665,2779,2101,0,0,0,1925,11168,4761,3559,3143,0,0
Purvis Short,842,24549,14607,3625,2123,878,178,1720,2479,12507,5934,3174,2614,443,125
Gene Shue,699,23338,10068,2855,2608,0,0,0,1405,9378,3715,3273,2638,0,0
Jack Sikma,1107,36943,17287,10816,3488,1162,1048,2586,3879,13792,6396,5053,4292,618,203
Paul Silas,1254,34989,11782,12357,2572,358,138,333,3105,9949,4293,4748,3196,0,0
Jerry Sloan,755,25750,10571,5615,1925,381,32,0,2700,9646,4116,3239,2339,0,0
Bingo Smith,865,22407,10882,3630,1734,431,167,237,2059,10642,4776,1637,1307,81,23
Joe Smith,949,26338,11001,6388,985,600,844,1261,2863,9299,4245,3142,2482,119,29
Randy Smith,976,31444,16262,3597,4487,1403,57,1158,2556,14218,6676,3705,2893,110,17
Steve Smith,942,28853,13430,3060,2922,725,275,1714,2278,10485,4609,3625,3064,3208,1148
Rik Smits,867,23100,12871,5277,1215,372,1110,1579,3010,10461,5301,2932,2266,26,3
Dick Snyder,964,25676,11755,2732,2767,300,157,84,2453,10019,4890,2398,1975,0,0
Ricky Sobers,821,22992,10902,2132,3525,1085,161,1973,2622,9262,4250,2695,2272,447,130
Latrell Sprewell,913,35273,16712,3724,3664,1294,398,2452,1690,14294,6076,4298,3456,3272,1104
Jerry Stackhouse,854,28498,15749,2904,3118,831,419,2536,1707,12582,5151,5537,4548,2941,899
John Starks,866,23515,10829,2128,3085,951,106,1533,2293,9589,3953,2211,1701,3590,1222
John Stockton,1504,47765,19711,4050,15806,3265,315,4243,3942,13658,7039,5796,4788,2202,845
